,t_out,Energy_2,Energy_4,Energy_3,temperature:drybulb,Equip,Energy_5,Energy_1,light,occ
2973,33.3,6872.463,6713.1963,4191.2095,21.997898,0.9848403,4454.4272,6877.3833,0.64265865,0.93933207
2974,33.3,6849.493,6693.4497,4177.444,21.997921,0.9848403,4473.716,6866.172,0.64265865,0.93933207
2975,33.3,6824.6836,6671.979,4162.5225,21.997946,0.9848403,4490.796,6853.567,0.64265865,0.93933207
2976,33.116665,6795.465,6646.47,4144.4097,21.997974,0.9848403,4503.986,6848.9346,0.64265865,0.93933207
2977,32.933334,6767.1743,6622.2324,4127.1,21.998005,0.9848403,4517.2446,6843.6963,0.64265865,0.93933207
2978,32.75,6740.9653,6600.2407,4111.1704,21.99803,0.9848403,4531.068,6838.2544,0.64265865,0.93933207
2979,32.566666,6714.191,6578.364,4095.1106,21.998049,0.9848403,4528.169,6832.475,0.64265865,0.93933207
2980,32.383335,6687.8354,6557.387,4079.3765,21.998064,0.9848403,4521.2354,6826.147,0.64265865,0.93933207
2981,32.2,6661.609,6536.854,4063.7495,21.99808,0.9848403,4512.1353,6819.1025,0.64265865,0.93933207
2982,32.116665,5437.9214,5312.411,3335.7683,21.998362,0.5471335,3800.8213,5285.3755,0.3570326,0.29663122
2983,32.033333,5419.937,5300.6304,3325.4546,21.998873,0.5471335,3786.044,5271.782,0.3570326,0.29663122
2984,31.95,5425.953,5318.5083,3329.6067,21.998926,0.5471335,3783.645,5284.616,0.3570326,0.29663122
2985,31.866667,5424.376,5331.244,3330.3677,21.998915,0.5471335,3744.7212,5298.261,0.3570326,0.29663122
2986,31.783333,5424.4014,5348.824,3332.2417,21.998901,0.5471335,3714.2441,5311.989,0.3570326,0.29663122
2987,31.7,5422.81,5363.2056,3333.338,21.998892,0.5471335,3681.9314,5324.1904,0.3570326,0.29663122
2988,31.416666,4895.268,4843.9033,3021.1921,21.99896,0.4377068,3345.174,4694.1426,0.21421957,0.098877065
2989,31.133333,4864.322,4820.3374,3005.239,21.999136,0.4377068,3292.7522,4687.316,0.21421957,0.098877065
2990,30.85,4837.7373,4794.817,2992.1758,21.999147,0.4377068,3227.1199,4685.599,0.21421957,0.098877065
2991,30.566668,4813.664,4773.5605,2979.483,21.999142,0.4377068,3187.3364,4679.8984,0.21421957,0.098877065
2992,30.283333,4772.515,4712.5493,2958.328,21.999138,0.4377068,3065.4102,4670.5146,0.21421957,0.098877065
2993,30.0,4743.2324,4682.4736,2941.7178,21.999142,0.4377068,3029.0205,4657.0728,0.21421957,0.098877065
2994,29.816668,4721.711,4662.729,2929.7395,21.999142,0.4377068,3010.94,4639.716,0.21421957,0.098877065
2995,29.633333,4697.795,4640.4185,2915.714,21.999136,0.4377068,2993.9382,4620.49,0.21421957,0.098877065
2996,29.45,4670.5967,4614.9453,2899.4185,21.999136,0.4377068,2976.4146,4599.386,0.21421957,0.098877065
2997,29.266666,4640.545,4586.713,2881.226,21.99914,0.4377068,2958.0134,4576.626,0.21421957,0.098877065
2998,29.083334,4608.1997,4556.259,2861.5405,21.999146,0.4377068,2938.7642,4552.413,0.21421957,0.098877065
2999,28.9,4573.308,4524.0513,2840.6963,21.999155,0.4377068,2918.7432,4526.964,0.21421957,0.098877065
3000,28.9,4382.303,4332.5605,2726.339,21.999182,0.4377068,2806.4937,4290.3657,0.14281304,0.098877065
3001,28.9,4378.955,4329.393,2723.6719,21.999249,0.4377068,2804.4185,4284.042,0.14281304,0.098877065
3002,28.9,4379.419,4330.2437,2723.518,21.999252,0.4377068,2804.771,4281.114,0.14281304,0.098877065
3003,28.9,4380.7134,4331.91,2723.9185,21.999249,0.4377068,2805.6938,4278.715,0.14281304,0.098877065
3004,28.9,4382.2026,4333.7573,2724.4634,21.999245,0.4377068,2806.766,4276.5146,0.14281304,0.098877065
3005,28.9,4383.693,4335.5874,2725.0352,21.999243,0.4377068,2807.8591,4274.3174,0.14281304,0.098877065
3006,28.9,4386.4004,4338.593,2726.3123,21.99924,0.4377068,2809.5989,4274.0303,0.14281304,0.098877065
3007,28.9,4389.7134,4342.1895,2728.0015,21.999239,0.4377068,2811.7144,4274.1504,0.14281304,0.098877065
3008,28.9,4393.978,4346.7246,2730.3188,21.999235,0.4377068,2814.3865,4274.905,0.14281304,0.098877065
3009,28.9,4399.002,4352.006,2733.1348,21.999233,0.4377068,2817.484,4276.153,0.14281304,0.098877065
3010,28.9,4404.635,4357.883,2736.3442,21.999228,0.4377068,2820.9067,4277.8457,0.14281304,0.098877065
3011,28.9,4409.0557,4364.2383,2739.8687,21.999224,0.4377068,2824.5833,4279.9375,0.14281304,0.098877065
3012,28.8,5245.6787,5201.492,3319.481,21.999287,0.4377068,3402.772,0.0,0.07140652,0.049438532
3013,28.7,5503.4717,5455.6616,3496.671,21.99894,0.4377068,3581.7837,0.0,0.07140652,0.049438532
3014,28.6,5466.963,5418.4536,3470.7961,21.998775,0.4377068,3557.952,0.0,0.07140652,0.049438532
3015,28.5,5553.719,5503.419,3528.1638,21.997778,0.4377068,3616.536,0.0,0.07140652,0.049438532
3016,28.4,5540.435,5489.442,3516.7297,21.99774,0.4377068,3607.557,0.0,0.07140652,0.049438532
